id,session_id,card_id,user_id,rating,response_ms,reviewed_at,scheduled_interval,ease,was_new
3076d7fc-e8f6-479e-be8b-d22c49b30e49,0236b013-b7eb-45ce-b8b7-eeadd09e76d5,b1fb0463-6f79-4ad0-9840-c8c95da334fd,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,1,0,2026-06-13 07:04:08.882+00,1,3.6,false
30c5993a-ba3a-4879-b35f-c9f5efbd1611,7bcf04d4-3c84-4b6e-98c3-1c0abfc22b88,de57c86f-04db-4232-b022-53d316cafffd,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,7300,2026-07-12 13:28:13.056+00,29,3.86402671652124,false
31265545-ad16-421a-b56e-6069a5f61c65,cc6251f1-b5a4-41c4-98c0-88e61b2cc630,3997bf90-f550-4edb-883c-42ce34275db2,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,19260,2026-07-10 16:01:22.121+00,1,3.28285649513529,true
3231d686-7a36-4c7a-98a9-c065a46d88c7,3088957c-0755-4af1-b911-a67caab95070,cca4cc90-cfa0-4f22-88e1-a9af0f5ee4ca,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-21 06:22:50.857+00,1,3.28285649513529,true
340f4b99-b817-4a9e-a342-4eec5911f4d9,20f177f7-c304-4807-bc6a-bcece2ebd262,d1c17d98-1dd3-4b88-86a6-5305dd294af3,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,11540,2026-07-12 15:00:32.395+00,30,3.86402671652124,false
34a0da6c-48a9-4cca-af94-818222573648,b4ef210e-0e52-4221-a39b-7b3716583f90,15476e93-b9f4-4e9c-ac3e-98d592fcd602,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,96186,2026-07-13 05:44:24.278+00,1,3.28285649513529,true
3543b707-5766-48eb-b059-cfff55912db0,fb682751-63ad-4ba8-a90b-998ecd1ca435,afc363a7-18eb-4a8f-8994-272a157a83cf,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,1,0,2026-06-17 10:31:45.248+00,2,5.41305649513529,false
3662fa97-1f94-4f9c-bf14-31cd3967a59d,1dc30eff-14f8-4268-845b-724ac99f6833,8d427c1f-65df-4efa-aca9-4679f94a1c62,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-21 09:29:26.448+00,1,3.28285649513529,true
371c71cf-e6a6-43e9-a7eb-f749c98d3baf,a1144618-dcf3-4b84-aa96-55d684b012f6,49d1e57c-02a1-4eaf-85f1-61c4535f49ca,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,6184,2026-07-10 15:18:58.478+00,26,3.86402671652124,false
39adf569-4346-4687-aaa4-2e29f4520580,27d54cff-fede-43ab-86ca-bd910b05d125,dc681701-3f03-4621-b632-accee9d3c959,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,1911,2026-07-13 06:54:13.045+00,19,3.86402671652124,false
39e62aa5-aae2-4d02-a1a9-b9fbdd2b2340,83440261-c86b-43aa-8fb2-ac7de5976282,1d91bd08-15e7-409a-b255-ecc8c5849dd0,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-18 11:10:31.954+00,13,2.21775649513529,false
39e62d0b-0723-4146-9a49-0512950605fe,1f1096f9-0ec9-4c2c-afb6-96cf6c08470a,a54773c7-374f-407a-a3aa-e526c6137391,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-21 06:22:35.991+00,1,3.28285649513529,true
3ae76e74-d398-45db-8d32-fc1ac5bd0d9c,615dd11d-a450-4d9d-9398-c8c7f3e978a4,d7e5d107-9e95-4701-8f19-04a448f4e32e,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,7345,2026-07-13 16:20:59.1+00,1,3.28285649513529,true
3d8d5243-a94a-404a-8dc5-0d7c37a8cde3,25b30860-f549-49ab-9903-dfff53e34e28,2a2248c6-dfed-466e-822a-19cf567b9392,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,12744,2026-07-12 15:45:08.038+00,1,3.28285649513529,true
3f2d3381-fb77-4855-b96e-c7dbb9b8d51e,92a720cd-8d2a-43c0-b0d6-b20330a6f057,f5eac90f-55c6-42a5-a759-05b334614626,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-21 06:27:00.634+00,1,3.28285649513529,true
3fdac7d4-9510-4a4e-9882-a17371cbd403,09a002b0-b6e6-40f0-a05e-17a492230273,49d1e57c-02a1-4eaf-85f1-61c4535f49ca,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,3013,2026-07-09 15:02:35.02+00,1,3.28285649513529,true
